time,pv_production,wind_production,prob_precip_1h:p,clear_sky_rad:W,diffuse_rad:W,direct_rad:W,global_rad:W,sunshine_duration_1h:min,sun_azimuth:d,sun_elevation:d,low_cloud_cover:p,medium_cloud_cover:p,high_cloud_cover:p,effective_cloud_cover:p,temp,relative_humidity_2m:p,dew_point_2m:C,wind_speed_2m:ms,wind_dir_2m:d,t_10m:C,relative_humidity_10m:p,dew_point_10m:C,wind_speed_10m:ms,wind_dir_10m:d,t_50m:C,relative_humidity_50m:p,dew_point_50m:C,wind_speed_50m:ms,wind_dir_50m:d,t_100m:C,relative_humidity_100m:p,dew_point_100m:C,wind_speed_100m:ms,wind_dir_100m:d,total_production
2020-01-02 02:00:00,0.0,12.45,1.0,0.0,0.0,0.0,0.0,0.0,51.436,-41.949,20.4,99.4,100.0,99.8,4.8,91.9,3.6,1.1,165.8,5.0,90.1,3.5,1.6,165.8,5.9,83.5,3.3,2.9,170.1,6.3,78.2,2.8,4.3,175.4,12.45
2020-01-02 03:00:00,0.0,9.24,1.0,0.0,0.0,0.0,0.0,0.0,67.667,-36.158,23.8,99.7,100.0,99.9,4.7,88.4,3.0,1.5,187.5,5.0,86.7,2.9,2.1,187.5,5.7,80.2,2.6,3.6,190.1,6.2,74.9,2.1,5.1,193.3,9.24
2020-01-02 04:00:00,0.0,4.82,1.0,0.0,0.0,0.0,0.0,0.0,82.263,-29.674,1.1,92.2,100.0,96.1,4.8,86.3,2.7,1.0,182.1,5.1,84.4,2.7,1.4,182.1,6.1,77.7,2.5,2.6,185.2,6.7,72.4,2.1,4.0,189.1,4.82
2020-01-02 05:00:00,0.0,16.07,1.0,0.0,0.0,0.0,0.0,0.0,95.787,-22.961,6.8,81.2,100.0,91.2,4.8,86.0,2.6,0.8,181.0,5.1,83.7,2.6,1.2,181.0,6.2,75.5,2.2,2.4,180.0,6.8,70.0,1.8,3.8,178.7,16.07
2020-01-02 06:00:00,0.0,3.28,1.0,0.0,0.0,0.0,0.0,0.0,108.744,-16.401,0.8,72.0,100.0,86.1,5.1,81.6,2.2,1.5,169.7,5.5,79.4,2.2,2.1,169.7,6.6,71.9,1.9,3.6,170.8,7.3,66.8,1.5,5.2,172.2,3.28
2020-01-02 07:00:00,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,121.533,-10.322,0.8,10.8,100.0,55.7,4.0,85.7,1.8,1.4,211.7,4.6,82.7,1.9,2.0,211.7,6.8,72.2,2.2,3.3,199.0,8.2,64.8,2.0,4.7,183.1,13.0
2020-01-02 08:00:00,0.0,28.21,28.0,0.0,0.0,0.0,0.0,0.0,134.443,-5.028,0.2,13.5,100.0,56.9,4.5,83.0,1.9,2.6,182.9,5.1,80.4,2.0,3.8,182.9,7.2,71.0,2.3,6.1,180.1,8.5,64.0,2.1,8.3,176.5,28.21
2020-01-02 09:00:00,0.0,17.66,55.8,0.0,0.0,0.0,0.0,0.8,147.644,-0.804,0.0,16.4,100.0,58.2,5.9,76.1,2.0,2.9,183.6,6.3,74.0,2.0,4.2,183.6,7.6,66.8,1.9,6.8,182.8,8.4,61.5,1.4,9.2,181.9,17.66
2020-01-02 10:00:00,0.0,4.1,51.8,15.6,13.9,1.2,15.1,55.0,161.18,2.098,0.2,8.3,99.4,54.0,6.6,71.9,1.9,3.0,183.7,6.8,70.2,1.8,4.3,183.7,7.7,64.2,1.4,6.9,183.7,8.1,60.0,0.9,9.3,183.6,4.1
2020-01-02 11:00:00,0.0,0.1,15.5,27.4,22.0,9.2,31.3,59.5,174.968,3.487,0.9,0.1,86.8,44.0,7.4,65.5,1.4,3.4,188.6,7.6,63.9,1.3,4.8,188.6,8.3,58.6,0.7,7.5,187.9,8.6,54.9,0.1,9.8,187.1,0.1
2020-01-02 12:00:00,0.0,0.0,1.0,25.3,15.5,8.9,24.4,35.5,188.832,3.264,3.7,40.8,44.8,55.8,6.7,69.6,1.5,2.1,222.0,7.0,67.7,1.4,3.0,222.0,8.0,61.0,0.9,4.9,217.3,8.4,56.6,0.3,6.7,211.4,0.0
2020-01-02 13:00:00,0.0,0.0,1.0,10.7,3.8,0.9,4.6,1.1,202.565,1.445,1.5,98.2,89.6,99.0,6.5,68.8,1.2,1.9,185.2,6.9,66.7,1.1,2.7,185.2,8.0,59.5,0.6,4.3,186.8,8.5,54.7,-0.1,5.8,188.8,0.0
2020-01-02 14:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,216.012,-1.842,18.5,100.0,7.8,100.0,6.7,68.7,1.4,2.5,205.2,7.0,67.2,1.3,3.5,205.2,7.7,61.6,0.8,5.5,203.9,8.1,57.7,0.3,7.4,202.3,0.0
2020-01-02 15:00:00,0.0,4.91,1.0,0.0,0.0,0.0,0.0,0.0,229.124,-6.386,51.8,99.4,0.0,99.7,6.5,73.4,2.1,3.1,186.4,6.7,71.7,2.0,4.4,186.4,7.4,65.8,1.4,6.8,187.6,7.6,61.5,0.7,8.8,189.2,4.91
2020-01-02 16:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,241.978,-11.924,36.5,98.8,0.3,99.3,6.3,77.1,2.5,3.1,188.9,6.5,75.4,2.4,4.4,188.9,7.1,69.5,1.9,6.8,188.5,7.3,65.2,1.3,9.0,187.9,0.0
2020-01-02 17:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,254.78,-18.166,27.4,99.2,4.5,99.4,6.3,77.0,2.6,2.9,198.7,6.5,75.5,2.5,4.2,198.7,7.0,69.9,1.9,6.5,196.5,7.2,65.9,1.2,8.5,193.8,0.0
2020-01-02 18:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,267.848,-24.803,13.1,86.1,8.7,88.4,6.2,76.1,2.3,3.0,193.1,6.3,74.6,2.1,4.3,193.1,6.7,69.3,1.5,6.6,191.9,6.8,65.5,0.8,8.6,190.5,0.0
2020-01-02 19:00:00,0.0,17.44,9.8,0.0,0.0,0.0,0.0,0.0,281.612,-31.493,26.1,95.5,96.5,98.3,6.9,74.2,2.6,3.5,188.7,7.0,72.6,2.5,5.1,188.7,7.5,66.9,1.7,7.5,188.4,7.6,62.8,0.9,9.6,188.0,17.44
2020-01-02 20:00:00,0.0,50.38,9.6,0.0,0.0,0.0,0.0,0.0,296.601,-37.838,6.4,46.3,94.8,73.6,6.2,74.6,2.0,3.8,186.3,6.3,73.3,1.9,5.4,186.3,6.6,68.9,1.3,7.9,186.1,6.6,65.7,0.6,9.9,185.9,50.38
2020-01-02 21:00:00,0.0,5.4,1.0,0.0,0.0,0.0,0.0,0.0,313.371,-43.343,0.8,9.7,100.0,55.2,5.6,74.9,1.5,3.9,178.9,5.7,73.5,1.3,5.7,178.9,6.0,68.8,0.7,8.3,179.5,6.0,65.5,0.1,10.5,180.1,5.4
2020-01-02 22:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,332.266,-47.408,0.5,0.6,97.7,49.4,5.4,73.2,1.0,3.7,185.2,5.5,71.9,0.8,5.3,185.2,5.8,67.4,0.2,7.9,184.6,5.8,64.4,-0.4,10.0,183.9,0.0
2020-01-02 23:00:00,0.0,3.97,1.0,0.0,0.0,0.0,0.0,0.0,352.966,-49.42,5.4,10.9,27.9,27.4,5.0,72.5,0.5,2.7,197.0,5.1,71.2,0.3,3.9,197.0,5.4,66.6,-0.3,6.1,193.9,5.5,63.4,-0.9,8.1,190.1,3.97
2020-01-03 00:00:00,0.0,35.66,1.0,0.0,0.0,0.0,0.0,0.0,12.66,-49.025,32.6,94.2,2.4,96.2,3.9,80.0,0.8,1.9,280.6,4.2,77.9,0.7,2.7,280.6,5.0,70.6,0.1,3.8,266.6,5.3,65.6,-0.7,4.5,249.2,35.66
2020-01-03 01:00:00,0.0,4.54,1.0,0.0,0.0,0.0,0.0,0.0,32.946,-46.416,98.7,96.2,97.8,100.0,2.5,100.0,2.5,3.0,291.7,2.4,100.0,2.4,4.3,291.7,2.1,100.0,2.1,6.5,290.2,1.8,100.0,1.8,8.3,288.2,4.54
2020-01-03 02:00:00,0.0,17.05,1.0,0.0,0.0,0.0,0.0,0.0,51.257,-41.908,90.2,100.0,99.7,100.0,2.5,98.4,2.3,2.2,239.6,2.5,98.4,2.2,3.1,239.6,2.2,98.6,2.0,4.6,244.1,1.9,98.8,1.8,5.7,249.8,17.05
2020-01-03 03:00:00,0.0,41.2,1.0,0.0,0.0,0.0,0.0,0.0,67.499,-36.127,73.7,100.0,99.9,100.0,2.8,95.7,2.2,2.6,223.6,2.7,96.0,2.1,3.8,223.6,2.3,97.0,1.9,5.2,225.1,1.9,97.9,1.6,6.1,227.0,41.2
2020-01-03 04:00:00,0.0,67.76,1.0,0.0,0.0,0.0,0.0,0.0,82.106,-29.648,67.3,97.2,8.4,99.1,2.8,96.1,2.3,3.1,242.4,2.8,95.4,2.2,4.5,242.4,2.7,93.1,1.7,6.6,245.4,2.4,91.6,1.2,8.3,249.1,67.76
2020-01-03 05:00:00,0.0,112.75,1.0,0.0,0.0,0.0,0.0,0.0,95.639,-22.936,61.0,90.9,0.8,96.5,2.3,96.1,1.7,3.9,258.4,2.2,95.6,1.6,5.7,258.4,2.0,94.0,1.1,7.9,259.3,1.7,93.0,0.7,9.5,260.4,112.75
2020-01-03 06:00:00,0.0,112.76,1.0,0.0,0.0,0.0,0.0,0.0,108.602,-16.372,4.8,96.8,16.3,97.2,1.5,96.0,0.9,4.7,266.4,1.5,95.4,0.8,6.7,266.4,1.3,93.2,0.3,9.4,267.2,1.0,91.7,-0.2,11.3,268.2,112.76
2020-01-03 07:00:00,0.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,121.397,-10.286,4.2,99.7,44.3,99.8,1.5,90.2,0.1,4.5,248.7,1.4,89.6,-0.1,6.5,248.7,1.2,87.2,-0.7,9.1,250.9,0.9,85.4,-1.3,10.9,253.6,63.0
2020-01-03 08:00:00,0.0,83.15,1.0,0.0,0.0,0.0,0.0,0.0,134.311,-4.983,9.7,96.5,26.4,97.2,1.7,81.2,-1.2,4.0,245.9,1.6,80.5,-1.4,5.8,245.9,1.4,77.9,-2.1,8.2,248.1,1.0,75.9,-2.7,9.8,250.9,83.15
2020-01-03 09:00:00,0.0,52.25,1.0,0.0,0.0,0.0,0.0,0.0,147.518,-0.747,10.3,97.7,56.6,98.5,1.3,79.4,-1.8,3.8,246.5,1.3,79.1,-2.0,5.5,246.5,1.0,77.7,-2.5,7.6,248.6,0.6,76.7,-3.0,9.0,251.3,52.25
2020-01-03 10:00:00,0.0,43.22,1.0,16.1,6.3,0.2,6.4,0.4,161.06,2.168,65.2,99.4,48.5,99.8,1.0,81.0,-1.9,3.9,252.8,0.9,80.9,-2.0,5.6,252.8,0.5,80.5,-2.4,7.5,253.9,0.1,80.3,-2.9,8.7,255.3,43.22
2020-01-03 11:00:00,0.0,80.66,1.0,28.2,11.3,0.9,12.2,2.0,174.857,3.57,19.7,96.7,37.8,97.8,1.1,80.1,-1.9,4.8,250.9,1.0,80.1,-2.0,7.0,250.9,0.5,80.2,-2.5,9.3,251.4,0.1,80.4,-2.9,10.6,252.1,80.66
2020-01-03 12:00:00,0.0,90.88,1.0,26.2,16.1,3.4,19.5,5.4,188.731,3.36,59.6,90.9,21.7,96.7,0.5,74.1,-3.6,6.3,263.8,0.4,74.1,-3.7,9.0,263.8,-0.1,74.0,-4.2,12.0,264.1,-0.6,74.2,-4.6,13.6,264.4,90.88
2020-01-03 13:00:00,0.0,60.08,1.0,11.5,8.9,1.6,10.5,6.6,202.476,1.552,49.4,89.1,51.0,95.9,0.1,69.2,-4.9,5.0,236.2,-0.0,69.1,-5.0,7.2,236.2,-0.5,69.2,-5.5,9.7,237.4,-1.0,69.5,-5.9,11.1,238.9,60.08
2020-01-03 14:00:00,0.0,47.09,1.0,0.0,0.0,0.0,0.0,1.0,215.935,-1.727,24.8,97.9,8.5,98.5,-0.1,68.3,-5.2,4.9,233.2,-0.2,68.2,-5.4,7.1,233.2,-0.7,67.6,-5.9,9.5,234.4,-1.1,67.5,-6.4,10.9,235.9,47.09
2020-01-03 15:00:00,0.0,61.97,1.0,0.0,0.0,0.0,0.0,0.0,229.056,-6.264,73.2,99.8,37.7,100.0,-1.0,75.9,-4.7,3.9,220.6,-1.1,75.9,-4.8,5.7,220.6,-1.5,76.1,-5.1,7.6,221.0,-1.9,76.4,-5.5,8.7,221.4,61.97
2020-01-03 16:00:00,0.0,58.27,1.0,0.0,0.0,0.0,0.0,0.0,241.918,-11.798,49.2,99.6,6.8,99.8,-1.3,79.3,-4.4,3.8,219.5,-1.4,79.4,-4.5,5.5,219.5,-1.9,80.0,-4.9,7.4,221.0,-2.3,80.5,-5.2,8.5,222.8,58.27
2020-01-03 17:00:00,0.0,43.59,1.0,0.0,0.0,0.0,0.0,0.0,254.724,-18.038,74.5,61.9,11.4,90.9,-0.7,74.1,-4.8,4.0,227.5,-0.8,74.1,-4.9,5.7,227.5,-1.3,74.3,-5.3,7.8,230.3,-1.7,74.7,-5.6,9.0,233.8,43.59
2020-01-03 18:00:00,0.0,114.32,1.0,0.0,0.0,0.0,0.0,0.0,267.792,-24.674,20.3,96.6,55.3,98.0,0.4,69.0,-4.6,5.1,241.2,0.3,68.9,-4.8,7.3,241.2,-0.2,68.5,-5.3,9.9,243.0,-0.6,68.4,-5.7,11.5,245.3,114.32
2020-01-03 19:00:00,0.0,134.41,1.0,0.0,0.0,0.0,0.0,0.0,281.551,-31.365,20.1,98.3,5.1,98.7,1.1,55.9,-6.7,5.2,240.0,1.0,55.4,-6.9,7.5,240.0,0.6,53.7,-7.7,10.2,241.9,0.2,52.7,-8.3,12.0,244.2,134.41
2020-01-03 20:00:00,0.0,125.1,1.0,0.0,0.0,0.0,0.0,0.0,296.527,-37.712,43.6,97.8,61.7,99.1,0.8,64.3,-5.2,6.1,232.9,0.7,64.1,-5.4,8.8,232.9,0.2,63.5,-5.9,11.9,234.2,-0.2,63.3,-6.4,13.7,236.0,125.1
2020-01-03 21:00:00,0.0,98.93,1.0,0.0,0.0,0.0,0.0,0.0,313.276,-43.223,70.2,97.2,74.5,99.5,0.9,70.5,-3.9,6.8,235.1,0.8,70.4,-4.0,9.8,235.1,0.3,70.1,-4.5,13.2,236.5,-0.1,70.1,-4.9,15.2,238.4,98.93
2020-01-03 22:00:00,0.0,142.58,1.0,0.0,0.0,0.0,0.0,0.0,332.141,-47.297,79.5,88.8,78.9,98.6,1.7,81.3,-1.2,5.6,248.1,1.6,81.5,-1.2,8.0,248.1,1.2,82.4,-1.4,10.9,250.0,0.8,83.3,-1.7,12.8,252.4,142.58
2020-01-03 23:00:00,0.0,129.37,1.0,0.0,0.0,0.0,0.0,0.0,352.81,-49.325,65.6,91.8,93.1,98.5,2.5,86.4,0.5,6.6,282.0,2.5,86.4,0.4,9.5,282.0,2.2,86.5,0.1,12.9,282.6,1.8,86.7,-0.2,14.9,283.3,129.37
2020-01-04 00:00:00,0.0,135.54,56.0,0.0,0.0,0.0,0.0,0.0,12.485,-48.941,58.0,97.9,95.0,99.5,2.2,86.5,0.2,7.1,294.9,2.1,86.7,0.1,10.3,294.9,1.8,87.5,-0.1,13.9,295.3,1.4,88.4,-0.3,15.9,295.7,135.54
2020-01-04 01:00:00,0.0,124.18,24.4,0.0,0.0,0.0,0.0,0.0,32.761,-46.351,68.2,59.4,56.5,90.7,2.1,80.3,-0.9,6.2,289.0,2.0,80.3,-1.0,8.8,289.0,1.6,80.1,-1.4,12.0,289.5,1.2,80.2,-1.8,13.9,290.1,124.18
2020-01-04 02:00:00,0.0,-0.0,37.2,0.0,0.0,0.0,0.0,0.0,51.077,-41.859,61.1,77.8,34.4,92.8,1.7,84.8,-0.6,6.1,290.1,1.6,84.9,-0.6,8.8,290.1,1.3,85.1,-1.0,11.9,290.5,0.9,85.6,-1.3,13.6,290.9,0.0
2020-01-04 03:00:00,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.329,-36.089,36.6,69.0,43.3,84.6,1.5,87.0,-0.4,6.4,297.7,1.4,87.0,-0.5,9.1,297.7,1.0,87.3,-0.9,12.3,298.1,0.5,87.8,-1.2,14.0,298.6,0.0
2020-01-04 04:00:00,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,81.946,-29.615,58.5,73.5,48.8,91.7,1.0,90.6,-0.4,6.6,300.9,0.9,90.8,-0.4,9.5,300.9,0.5,91.6,-0.7,12.6,301.2,0.1,92.6,-1.0,14.3,301.7,0.0
2020-01-04 05:00:00,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,95.488,-22.903,59.7,44.9,44.6,82.7,1.3,89.4,-0.3,6.1,300.5,1.2,89.6,-0.3,8.8,300.5,0.7,90.5,-0.7,11.8,301.2,0.3,91.4,-1.0,13.4,302.0,0.0
2020-01-04 06:00:00,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,108.458,-16.335,60.0,39.1,27.6,79.0,0.5,91.9,-0.7,6.5,307.9,0.3,92.1,-0.8,9.4,307.9,-0.2,93.3,-1.1,12.5,308.4,-0.6,94.7,-1.4,14.2,308.9,0.0
2020-01-04 07:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,121.258,-10.242,70.1,85.6,41.7,96.6,0.5,90.9,-0.8,6.7,307.2,0.4,91.2,-0.9,9.7,307.2,-0.1,92.3,-1.2,12.8,307.7,-0.6,93.5,-1.5,14.4,308.4,0.0
2020-01-04 08:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.178,-4.93,60.3,74.4,29.4,91.3,1.3,85.4,-0.9,5.8,298.0,1.1,85.5,-1.0,8.3,298.0,0.6,86.4,-1.4,11.1,298.7,0.1,87.5,-1.7,12.6,299.7,0.0
2020-01-04 09:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,147.39,-0.682,34.0,61.2,9.1,75.6,1.3,80.8,-1.6,6.2,313.0,1.2,80.8,-1.7,8.9,313.0,0.7,81.2,-2.1,11.9,313.5,0.2,82.0,-2.5,13.5,314.1,0.0
2020-01-04 10:00:00,0.0,0.0,1.0,16.7,9.7,1.2,10.9,19.6,160.94,2.246,67.3,50.9,11.5,84.9,1.3,81.8,-1.5,5.5,313.7,1.2,81.9,-1.6,8.0,313.7,0.7,82.4,-2.0,10.6,314.4,0.2,83.4,-2.3,12.0,315.2,0.0
2020-01-04 11:00:00,0.0,0.0,1.0,29.1,17.6,2.6,20.1,11.9,174.747,3.661,52.5,80.2,3.6,90.7,1.5,79.8,-1.6,5.1,312.5,1.4,79.9,-1.7,7.4,312.5,0.9,80.2,-2.1,9.9,313.5,0.4,80.9,-2.5,11.4,314.7,0.0
2020-01-04 12:00:00,0.0,0.0,1.0,27.1,16.3,3.7,20.0,20.0,188.633,3.463,66.6,46.2,4.7,82.4,1.3,82.6,-1.3,5.3,312.5,1.2,82.7,-1.4,7.6,312.5,0.7,83.2,-1.8,10.2,313.2,0.3,84.2,-2.1,11.6,314.1,0.0
2020-01-04 13:00:00,0.0,0.0,1.0,12.3,8.5,2.4,10.8,31.7,202.39,1.666,47.2,42.8,0.0,69.8,1.2,77.3,-2.4,4.9,304.8,1.1,77.1,-2.5,7.1,304.8,0.6,76.4,-3.0,9.6,306.0,0.2,76.2,-3.5,11.0,307.5,0.0
2020-01-04 14:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.7,215.861,-1.605,35.4,54.9,0.0,70.9,0.9,77.0,-2.6,5.3,304.5,0.8,76.8,-2.7,7.6,304.5,0.5,76.5,-3.2,10.1,305.1,0.0,76.9,-3.5,11.5,305.7,0.0
2020-01-04 15:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,228.992,-6.137,54.3,37.9,0.0,71.6,0.6,85.2,-1.6,4.6,298.6,0.5,85.0,-1.7,6.6,298.6,0.2,84.8,-2.1,8.9,299.4,-0.2,85.7,-2.3,10.2,300.5,0.0
2020-01-04 16:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,241.863,-11.667,53.2,41.7,0.0,72.7,0.4,90.0,-1.0,4.3,296.6,0.3,89.7,-1.2,6.2,296.6,-0.1,90.1,-1.5,8.4,297.6,-0.5,91.5,-1.7,9.6,298.8,0.0
2020-01-04 17:00:00,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,254.673,-17.904,55.6,47.8,0.0,76.8,0.7,88.0,-1.0,3.6,291.1,0.6,87.7,-1.2,5.2,291.1,0.3,87.4,-1.5,7.1,292.3,-0.1,88.3,-1.8,8.2,293.8,0.0
2020-01-04 18:00:00,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,267.742,-24.539,69.4,48.1,0.0,84.1,0.4,88.9,-1.2,3.4,279.8,0.4,88.5,-1.3,4.8,279.8,0.1,88.1,-1.7,6.6,281.5,-0.3,89.2,-1.8,7.8,283.7,0.0
2020-01-04 19:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,281.495,-31.23,67.1,49.1,0.0,83.2,0.9,86.4,-1.1,4.0,278.7,0.8,86.1,-1.2,5.8,278.7,0.5,85.3,-1.7,7.8,279.8,0.1,86.5,-1.9,8.9,281.2,0.0
2020-01-04 20:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,296.46,-37.58,55.7,57.8,0.0,81.3,0.8,86.7,-1.2,4.2,285.2,0.7,86.3,-1.3,6.0,285.2,0.4,85.3,-1.8,8.1,286.1,-0.0,86.6,-2.0,9.3,287.2,0.0
2020-01-04 21:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,313.187,-43.096,59.2,45.1,0.0,77.6,0.6,89.4,-1.0,3.8,287.5,0.5,89.2,-1.1,5.4,287.5,0.1,88.5,-1.5,7.4,288.5,-0.2,89.8,-1.7,8.4,289.7,0.0
2020-01-04 22:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,332.022,-47.18,36.6,34.6,0.0,58.5,0.4,89.8,-1.1,2.9,275.3,0.3,89.5,-1.2,4.2,275.3,0.0,88.4,-1.7,5.8,277.8,-0.3,89.3,-1.8,6.8,280.9,0.0
2020-01-04 23:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,352.657,-49.223,25.6,13.3,83.7,62.5,-0.1,91.0,-1.4,2.2,245.2,-0.2,90.5,-1.5,3.2,245.2,-0.3,88.7,-2.0,4.7,250.9,-0.5,88.4,-2.2,5.8,257.9,0.0
2020-01-05 00:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.31,-48.849,49.2,11.8,100.0,77.6,-0.3,90.5,-1.7,2.3,226.9,-0.3,90.0,-1.8,3.3,226.9,-0.5,88.3,-2.2,4.9,233.9,-0.6,86.3,-2.6,6.1,242.7,0.0
2020-01-05 01:00:00,0.0,0.0,29.3,0.0,0.0,0.0,0.0,0.0,32.576,-46.279,62.6,45.7,100.0,89.8,0.3,90.0,-1.2,2.1,212.9,0.2,89.7,-1.2,3.1,212.9,-0.1,89.0,-1.7,4.3,218.2,-0.3,89.1,-1.9,5.1,224.7,0.0
